       1     318     780     448     160    1011     449
       2     317     776     509     186     597     510
       3     129     316      38      10      54      38
       4     166     424     382     139     554     382
       5     244     628      28       1      59      28
       6     441    1128     433     149     530     435
       7     405     999     114      65     181     115
       8     475    1173     423     149     514     424
       9     105     238     286     171     549     287
      10     281     634    1091     408    1243    1093
      11     213     480      55      15      92      55
      12     264     621      70      19     100      70
      13     433    1015      79      17     127      80
      14     266     626    2485    1021    2985    2491
      15     382     898     147      46     254     148
      16       0       0    2615    1236    4063    2621
      17     304     713      63      17     100      63
      18      82     192      39      13      51      39
      19     146     345      31       7      48      31
      20     454    1065      73      20     128      73
      21     547    1178     177      46     268     177
      22     200     489      22       1      44      22
      23     442    1078     265     100     577     266
      24     208     509      25       4      49      25
      25     119     291      58      19      76      58
      26     196     477      41       9      65      41
      27     143     349     168     191     269     169
      28     445    1075     132      38     196     133
      29     142     344      27       6      44      27
      30      92     222      10       3      22      10
      31     184     446      24       3      54      24
      32    1529    3442     517     242     770     518
      33     344     774     124     116     211     124
      34     425    1092      60       7     112      61
      35     205     525      80      23     111      80
      36     235     604      26       1      54      27
      37     428    1096     212      77     358     212
      38    1164    2760     214      42     385     215
      39     149     357      76      25     100      76
      40      91     219      12       1      23      12
      41     415     995      69      15     122      69
      42     121     292      19       3      33      19
      43     222     535      60      16      88      61
      44     718    1737      91      20     179      91
      45     594    1411     167      45     284     168
      46     391     930     379     133     459     380
      47     729    1740    1060     390    1274    1062
      48     494    1127     488     171     596     489
      49     239     544     276     197     558     276
      50     307     785     644     235     868     646
      51     188     481     305     295     455     306
      52     821    1865     713     298     916     715
      53     801    1814     167      45     254     168
      54     432     981     148      49     203     149
      55     163     377     162     138     239     163
      56     359     832     808     372    1027     810
      57     246     569      57      13      93      57
      58     126     304      67      58     125      67
      59     559    1358     758     352    1414     760
      60     324     788     215      86     287     216
      61    1130    2735    1464     619    1869    1467
      62     212     521     162     142     247     163
      63     131     324      62      19     150      62
      64     208     512     637     665     988     638
      65     154     378      21       9      42      21
      66    2372    5540     278      49     573     278
      67    2023    4962    1337     752    2679    1340
      68    2244    5505     302      64     613     303
      69     877    2152     110      32     214     110
      70     687    1710     660     430    1045     662
      71    1052    2620    1027     445    2319    1029
      72     433    1089     286      97     376     287
      73     247     622      22       0      48      22
      74     268     578     213     181     338     214
      75     435     937     327     129     420     328
      76     249     614    1257     475    1422    1260
      77     117     292    5219    2386    8358    5231
      78     662    1634    1218    1114    1769    1221
      79      78     192     276     103     314     276
      80     319     786     590     225     798     592
      81     178     441    1351     580    2608    1355
      82      20      43     100      38     113     100
      83     280     618     206     128     291     206
      84      51     112       9       1      16       9
      85     257     569     939     771    1400     941
      86       0       0    2081     807    2309    2086
      87     250     553    2490    1237    3501    2496
      88     144     319     763     349     894     765
      89      30      65     884     377    1002     886
      90     829    1867     284     120     469     285
      91     772    1829      74       0     162      74
      92     841    1992     255     146     411     256
      93       0       0     119     152     187     119
      94    1268    3050     402     285     782     403
      95    1501    3436    1663     751    3592    1667
      96     987    2444     167      38     285     168
      97     955    2248    1315     807    2855    1318
      98     162     383     168      59     202     169
