       1     318     780     547     160     966     474
       2     317     776     544     186     570     539
       3     129     316     222      10      52      40
       4     166     424     295     139     529     404
       5     244     628     437       1      56      30
       6     441    1128     786     149     506     459
       7     405     999     678      65     173     121
       8     475    1173     796     149     491     448
       9     105     238     183     171     524     303
      10     281     634     486     407    1187    1155
      11     213     480     368      15      88      58
      12     264     621     421      19      96      74
      13     433    1015     690      17     121      84
      14     266     626     424    1019    2852    2631
      15     382     898     610      46     243     156
      16       0       0       0    1234    3881    2769
      17     304     713     502      17      96      67
      18      82     192     136      13      49      41
      19     146     345     243       7      46      33
      20     454    1065     752      20     122      77
      21     547    1178     898      46     256     187
      22     200     489     339       1      42      23
      23     442    1078     747     100     551     281
      24     208     509     352       4      47      26
      25     119     291     201      19      73      61
      26     196     477     331       9      62      43
      27     143     349     243     191     257     178
      28     445    1075     743      38     187     140
      29     142     344     238       6      42      29
      30      92     222     155       3      21      11
      31     184     446     307       3      52      25
      32    1529    3442    2506     242     736     547
      33     344     774     563     116     202     131
      34     425    1092     758       7     107      64
      35     205     525     365      23     106      85
      36     235     604     419       1      52      28
      37     428    1096     762      77     342     224
      38    1164    2760    1993      42     368     227
      39     149     357     256      25      96      80
      40      91     219     157       1      22      13
      41     415     995     715      15     117      73
      42     121     292     209       3      32      20
      43     222     535     369      16      84      64
      44     718    1737    1196      20     171      96
      45     594    1411     990      45     271     177
      46     391     930     653     133     438     401
      47     729    1740    1235     389    1217    1122
      48     494    1127     832     171     569     517
      49     239     544     402     197     533     292
      50     307     785     558     235     829     682
      51     188     481     342     294     435     323
      52     821    1865    1332     297     875     755
      53     801    1814    1209      45     243     177
      54     432     981     652      49     194     157
      55     163     377     269     138     228     172
      56     359     832     594     371     981     856
      57     246     569     407      13      89      60
      58     126     304     218      58     119      71
      59     559    1358     992     351    1351     803
      60     324     788     575      86     274     228
      61    1130    2735    1985     618    1785    1550
      62     212     521     361     142     236     172
      63     131     324     223      19     143      66
      64     208     512     354     664     944     674
      65     154     378     261       9      40      22
      66    2372    5540    3950      49     547     294
      67    2023    4962    3345     751    2559    1416
      68    2244    5505    3709      64     586     320
      69     877    2152    1450      32     204     116
      70     687    1710    1171     429     998     699
      71    1052    2620    1793     444    2215    1087
      72     433    1089     718      97     359     303
      73     247     622     410       0      46      23
      74     268     578     451     181     323     226
      75     435     937     730     129     401     346
      76     249     614     440     474    1358    1331
      77     117     292     208    2381    7984    5526
      78     662    1634    1171    1112    1690    1290
      79      78     192     138     103     300     292
      80     319     786     564     225     762     625
      81     178     441     315     579    2491    1431
      82      20      43      34      38     108     106
      83     280     618     483     128     278     218
      84      51     112      88       1      15      10
      85     257     569     444     769    1337     994
      86       0       0       0     805    2206    2203
      87     250     553     432    1235    3344    2637
      88     144     319     248     348     854     808
      89      30      65      51     376     957     936
      90     829    1867    1353     120     448     301
      91     772    1829    1305       0     155      78
      92     841    1992    1420     146     393     270
      93       0       0       0     152     179     126
      94    1268    3050    2159     284     747     426
      95    1501    3436    2327     750    3431    1761
      96     987    2444    1684      38     272     177
      97     955    2248    1547     805    2727    1392
      98     162     383     262      59     193     178
      99      14      32      22       0       2       1
     100     246     580     399      10      72      50
     101    1801    4238    2919      16     351     182
     102    1637    3852    2653      46     369     207
     103      11      25      18     365    1540    1020
     104      97     230     164    1776    5006    4824
     105    1226    2924    2091    3142    8750    8585
     106     178     423     303     744    1806    1726
     107      52     113      88      70     204     198
     108     253     565     429     719    2294    1815
     109     138     307     234      74     147     111
     110     656    1465    1114     703    1967    1082
     111      35      94      66     293     500     415
     112     269     726     513     483     947     799
     113     145     393     276    1868    2467    1844
     114      28      76      53    1199    1822    1488
     115     584    1566    1115     199     548     486
     116     664    1880    1287      55     260     219
     117     842    2051    1487     461     902     733
     118      76     185     133     766    1039     729
     119     350     858     634     307     483     348
     120     290     707     524     481     680     492
     121     645    1666    1196     248     441     325
     122     400    1065     766       1     100      76
     123     390    1039     747     316     493     365
     124      85     186     138    4975    5857    4135
     125     537    1173     878     731    1041     775
     126     635    1307     986     328     599     471
     127      22      47      34     494    1368    1367
     128     707    1808    1277     389     810     670
     129     223     540     393     207     324     243
     130     331     800     582     241     405     301
     131     324     780     569      96     227     179
     132      48     115      84     487     677     506
     133     445    1118     798     323     575     450
     134     314     791     564    1070    1672    1335
     135     498    1002     839       3     117      89
     136       0       0       0     429     503     355
     137     870    1869    1367     316     567     420
     138     419     903     659     177     286     208
     139       2       3       3      12      16      11
     140     929    2075    1539      39     282     209
     141     223     498     370     344     658     545
     142     355     920     659     273     516     418
     143     205     532     381     264     391     291
     144      23      53      39    1159    1392     982
     145     998    2245    1702     239     495     359
     146      31      69      53     483     660     463
     147     483    1256     885     325     549     401
     148     920    2537    1710     223     613     523
     149      90     247     166     658    1107     930
     150      82     207     151     332     614     523
