;N,Name,HBW,HBO,NHB,HBSC
1,K_SR,-0.8777,0.0861,-0.0154,1.9381
2,K_TRN,-1.1005,-2.3872,-0.3903,0
3,K_NMOT,-1.2258,-0.3009,-1.464,-25.9715
4,K_PREM,0,0,0,0
5,,0,0,0,0
6,,0,0,0,0
7,,0,0,0,0
8,,0,0,0,0
9,,0,0,0,0
10,,0,0,0,0
